ad_id,landing_page_id,name,sample_type,page_type,parent_url,landing_url,ad_platform,ad_platform_type,ad_screenshot,page_screenshot
346865,100457,Charities and PSAs,adjusted_news,home,https://www.foxbusiness.com/,https://find.globalmissingkids.org/poster/NCMEC-1373796,Google,Display,screenshots/e9d228d2-5374-4508-86ef-d86f4951f427.png,external_screenshots/aea4ef82-edee-49c7-9370-0ce58d013931.png
322828,93270,Charities and PSAs,adjusted_news,home,http://www.eatingwell.com/,https://www.aniclasssettlement.com/notice?gclid=EAIaIQobChMItbO2mLKM5wIVmgKtBh0L6gCQEAEYASAAEgLhPvD_BwE,Google,Display,screenshots/f2e3f87b-369f-489f-9738-8cd2f9de6b3c.png,external_screenshots/3e79b6c9-b7f6-4c68-b319-128fbd241488.png
409214,,Charities and PSAs,adjusted_news,article,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,,Google,Display,screenshots/7facadb1-900a-4192-a92b-8a84349fa13c.png,external_screenshots/71a7f444-8534-45de-8e7d-9d6b3cd62fbd.png
308364,88964,Charities and PSAs,adjusted_news,home,https://movieweb.com/,http://www.takataairbaginjurytrust.com/?utm_source=Twitter&utm_medium=Ad1&utm_campaign=TRF,Google,Display,screenshots/dc20d0e4-30e1-48e7-b940-43693168f97a.png,external_screenshots/f220ef3a-6153-4e79-a8d8-6913bc52f1de.png
346865,100457,Charities and PSAs,adjusted_news,home,https://www.foxbusiness.com/,https://find.globalmissingkids.org/poster/NCMEC-1373796,Google,Display,screenshots/e9d228d2-5374-4508-86ef-d86f4951f427.png,external_screenshots/aea4ef82-edee-49c7-9370-0ce58d013931.png
413023,,Charities and PSAs,adjusted_news,article,https://www.syfy.com/syfywire/exclusive-sarah-kuhn-reveals-whats-next-for-her-superhero-series-with-haunted-heroine,,Google,Display,screenshots/7bcdca4c-4aab-4ca3-bebc-e37e51552cb9.png,external_screenshots/ad5176f6-83c2-4897-8ce5-583fb372c8a4.png
428979,,Content Farm,adjusted_news,article,https://www.usatoday.com/story/sports/tennis/2020/01/22/australian-open-elliot-benchetrit-asks-ball-girl-peel-banana/4539840002/,,Taboola,Native,screenshots/f514ad77-44b4-4ad8-87de-aa0066d3b55b.png,external_screenshots/ea2ee8b4-1fac-4d72-9076-462f6d94bf89.png
434459,125110,Content Farm,adjusted_news,article,https://www.theledger.com/zz/news/20200127/im-being-raped-weinstein-accuser-details-alleged-assault/1,http://www.moneypop.com/business/the-worst-planes-and-helicopters-ever-made/?utm_source=tb&utm_medium=gannettdigital-theledger-tb&utm_term=20+Of+The+Worst+Aircraft+Design+Flaws+Of+All+Time-https%3A%2F%2Fwww.moneypop.com%2Fhivemedia-images%2Fcreatives%2Fhjm%2F4_hjm.jpg&utm_content=2872076989&utm_campaign=3621354-tb&utm_source=tb&chrome=1,Taboola,Native,screenshots/bd4d19e3-1328-4ce6-a52e-ce7e0d32598f.png,external_screenshots/338278ed-2182-463a-ba64-d085567e9113.png
314253,90739,Content Farm,adjusted_news,home,https://www.usatoday.com/,http://dogsome.net/photos-that-prove-why-babies-need-dogs/?v=tdb7-4&utm_content=tdb7-4&utm_source=taboola&utm_medium=usatodaydemo&utm_campaign=tdb7&utm_term=Photo+Evidence+Of+Best+Friend+Baby+And+Dogs+Will+Melt+Your+Heart,Taboola,Native,screenshots/6bfd5a52-ef08-45a2-bd67-405d16e3b0b4.png,external_screenshots/5b98326a-3116-43e9-9696-661f001903fb.png
428315,,Content Farm,adjusted_news,article,https://www.mensjournal.com/health-fitness/how-sebastian-stan-trains-to-play-marvels-winter-soldier/,,Zergnet,Native,screenshots/5526a3d0-f8c1-481e-a713-f595aa4266cd.png,external_screenshots/e1fc62cf-ff32-4484-84e8-a32eed094e22.png
314304,90745,Content Farm,adjusted_news,home,https://www.usatoday.com/,https://www.carnovels.com/worldwide/deaf-dog?utm_medium=taboola&utm_source=taboola&utm_campaign=ta-cn-deaf-dog-des-us-safe-msn-16079f&utm_term=usatodaydemo,Taboola,Native,screenshots/a660e720-a262-45b4-8811-5d1fd454dd93.png,external_screenshots/5b98326a-3116-43e9-9696-661f001903fb.png
434458,125109,Content Farm,adjusted_news,article,https://www.theledger.com/zz/news/20200127/im-being-raped-weinstein-accuser-details-alleged-assault/1,https://www.topixparenthood.com/quiz/19834/?utm_campaign=147606&utm_term=gannettdigital-theledger&utm_source=taboola&tpx_campaign=19834-147606,Taboola,Native,screenshots/df2634e0-18a3-458f-aa6a-c036687ebe5d.png,external_screenshots/338278ed-2182-463a-ba64-d085567e9113.png
433881,125002,Content Farm,adjusted_news,article,https://slate.com/culture/2020/01/sue-townsends-the-queen-and-i-and-dispossessed-royals.html,https://www.obsev.com/life/diver-opens-340-year-old-jar/?utm_source=hi_taboola&utm_medium=slate1&utm_campaign=obs-ddd-tab-shiptube_v1_l1&utm_content=3603587&utm_term=2870937248&lay=1,Taboola,Native,screenshots/c25fda0e-e420-479c-b4b8-d08dfafb7b80.png,external_screenshots/12c58926-16b9-4936-aa67-927a6b6f772e.png
324361,93758,Content Farm,adjusted_news,article,https://www.wishtv.com/sports/the-zone-january-17-2020/,https://www.zergnet.com/news/4711392/the-main-reason-behind-sarah-palins-divorce-is-pretty-clear-now,Zergnet,Native,screenshots/ccf33a1a-e575-4c06-bf35-45155eb44f0e.png,external_screenshots/14d5b3ee-dd37-4125-8f55-fe95b497d0b0.png
434378,125093,Content Farm,adjusted_news,article,https://bdnews24.com/politics/2020/01/28/radwan-mujib-visits-dhaka-north-mayor-candidate-atiqul,https://bonvoyaged.com/hilarious-photos-captured-at-the-airport/?utm_source=taboola&utm_medium=taboola&utm_campaign=tbairport1a102319&utm_site=bdnews24.com,Taboola,Native,screenshots/5a0ba2c0-379a-496f-b003-6019ae5ac2bc.png,external_screenshots/b0faf0d3-71ba-445d-94ab-1c400b23b282.png
433901,125004,Content Farm,adjusted_news,article,https://slate.com/culture/2020/01/sue-townsends-the-queen-and-i-and-dispossessed-royals.html,http://tops.easyvoyage.co.uk/photo-divorce/?utm_source=taboola&utm_campaign=desktop-coupledivorce-us&utm_medium=cpc&utm_content=slate1,Taboola,Native,screenshots/b17acebe-8329-428a-8b41-6a92b01bc366.png,external_screenshots/12c58926-16b9-4936-aa67-927a6b6f772e.png
409395,118904,Content Farm,adjusted_news,article,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,http://divorcepayday.com/trending/beautiful-homes-top-stars-today?utm_source=taboola&utm_medium=gannettcompany-greenville&utm_campaign=3088463&utm_term=At+55%2C+Brad+Pitt+is+Living+In+This+House&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F958f579cb418c0e669b137cbc583e9b1.jpg,Taboola,Native,screenshots/fb0fed88-fd66-4a89-83b9-fec5c025d843.png,external_screenshots/71a7f444-8534-45de-8e7d-9d6b3cd62fbd.png
434338,125090,Content Farm,adjusted_news,article,https://bdnews24.com/politics/2020/01/28/radwan-mujib-visits-dhaka-north-mayor-candidate-atiqul,https://en.247mirror.com/this-is-how-disney-characters-would-look-like-as-real-people?ly=native_next&utm_source=tbl&utm_medium=pd&tai=3167388_1018623,Taboola,Native,screenshots/360580c4-e137-420e-b9b1-d7ca2a05b9a4.png,external_screenshots/b0faf0d3-71ba-445d-94ab-1c400b23b282.png
314320,90747,Content Farm,adjusted_news,home,https://www.usatoday.com/,https://www.stadiumtalk.com/s/best-high-school-football-programs-by-state-50cbef311f634728?utm_campaign=highschoolfootball-830cbbdc1274462d&utm_source=tab&utm_medium=cpc&utm_term=usatodaydemo,,,screenshots/21dd69ae-6ee6-4d5c-9d4c-cd4ee0f63ade.png,external_screenshots/5b98326a-3116-43e9-9696-661f001903fb.png
411922,119388,Content Farm,adjusted_news,article,https://www.sciencealert.com/an-ancient-corpse-shows-that-egyptians-were-practicing-mummification-long-before-the-pharaohs,https://www.sciencealert.com/there-s-a-desert-in-the-middle-of-the-pacific-and-we-now-know-what-lives-there,Taboola,Native,screenshots/53166bb9-3fe6-49a2-a754-f95a08105580.png,external_screenshots/7a34420d-445f-4f35-b6ac-bdb18cd306fd.png
434422,125107,Content Farm,adjusted_news,article,https://www.theledger.com/zz/news/20200127/im-being-raped-weinstein-accuser-details-alleged-assault/1,https://eternallysunny.com/diy-tree-stump-table-hc-es/?as=2020018086688&utm_source=taboola&utm_medium=cpc&utm_campaign=diy-tree-stump-table-hc-es_es_us_english_desktop_c0_t0_v20190131_b74_g1&utm_term=168081922&utm_content=gannettdigital-theledger&bdk=a2020018086688&ch=bt,Taboola,Native,screenshots/9c0e81da-99a7-40c0-b3d4-1744aff17e62.png,external_screenshots/338278ed-2182-463a-ba64-d085567e9113.png
433925,125008,Content Farm,adjusted_news,article,https://slate.com/culture/2020/01/sue-townsends-the-queen-and-i-and-dispossessed-royals.html,https://historicalpost.com/anthropology-and-history/shipwrecks/mystery-missing-submarine-crew/?utm_source=Taboola&utm_medium=CPC&utm_content=slate1_1143314&utm_campaign=75514_Historical-Post_Experts-Unraveled-The-Mystery_US_DESKTOP_DZ&utm_term=3674535&l=a,Taboola,Native,screenshots/e1beec66-ee5f-4ca2-9e69-0d535467f35c.png,external_screenshots/12c58926-16b9-4936-aa67-927a6b6f772e.png
388301,,Content Farm,adjusted_news,home,https://katv.com/,,Google,Display,screenshots/ab2623af-7054-4ae3-9522-3ea1559b32f6.png,external_screenshots/07bfa5f5-0efe-4428-8452-2b22a955ca98.png
411883,119381,Content Farm,adjusted_news,article,https://www.sciencealert.com/an-ancient-corpse-shows-that-egyptians-were-practicing-mummification-long-before-the-pharaohs,https://www.sciencealert.com/this-was-the-last-mars-panorama-opportunity-sent-and-it-s-so-beautiful-we-could-cry,,,screenshots/cb1e4334-bf41-455d-836e-15334fd6873f.png,external_screenshots/7a34420d-445f-4f35-b6ac-bdb18cd306fd.png
411844,119376,Content Farm,adjusted_news,article,https://www.sciencealert.com/an-ancient-corpse-shows-that-egyptians-were-practicing-mummification-long-before-the-pharaohs,https://www.sciencealert.com/scientists-have-warned-that-we-absolutely-must-not-farm-octopuses,,,screenshots/5abfb0e9-0822-4766-9be5-4ce7c7230cc2.png,external_screenshots/7a34420d-445f-4f35-b6ac-bdb18cd306fd.png
411827,119370,Content Farm,adjusted_news,article,https://www.sciencealert.com/an-ancient-corpse-shows-that-egyptians-were-practicing-mummification-long-before-the-pharaohs,https://magellantimes.com/anthropology-and-history/urban-exploration/liza-minnellis-abandoned-mansion/?utm_source=Taboola&utm_medium=CPC&utm_content=sciencealert_1035891&utm_campaign=74859_Magellan-Times_Inside-The-Crumbling-Walls-Of_US_DESKTOP_K&utm_term=3483483&l=a,,,screenshots/a96c7ea5-7ccf-495d-ab31-4e103d912662.png,external_screenshots/7a34420d-445f-4f35-b6ac-bdb18cd306fd.png
434400,125104,Content Farm,adjusted_news,article,https://bdnews24.com/politics/2020/01/28/radwan-mujib-visits-dhaka-north-mayor-candidate-atiqul,http://divorcepayday.com/trending/beautiful-homes-top-stars-today?utm_source=taboola&utm_medium=bdnews24&utm_campaign=3088463&utm_term=At+55%2C+Brad+Pitt+is+Living+In+This+House&utm_content=http%3A%2F%2Fcdn.taboola.com%2Flibtrc%2Fstatic%2Fthumbnails%2F958f579cb418c0e669b137cbc583e9b1.jpg,Taboola,Native,screenshots/27e2d57d-db81-43f0-b009-d1c3513e81cb.png,external_screenshots/b0faf0d3-71ba-445d-94ab-1c400b23b282.png
433937,125010,Content Farm,adjusted_news,article,https://slate.com/culture/2020/01/sue-townsends-the-queen-and-i-and-dispossessed-royals.html,https://www.stadiumtalk.com/s/worst-sports-teams-all-time-ea65b9a2748940c0?utm_campaign=worstteamsna-83963fe5f09441b5&utm_source=tab&utm_medium=cpc&utm_term=slate1,Taboola,Native,screenshots/74d7a92a-7195-43f1-aeba-07c8f782108b.png,external_screenshots/12c58926-16b9-4936-aa67-927a6b6f772e.png
411781,119364,Content Farm,adjusted_news,article,https://www.sciencealert.com/an-ancient-corpse-shows-that-egyptians-were-practicing-mummification-long-before-the-pharaohs,https://www.sciencealert.com/researchers-predict-several-crucial-shifts-in-the-2020s-and-they-re-not-great,,,screenshots/652a6c1f-6f65-47b2-8afc-3493f72ff579.png,external_screenshots/7a34420d-445f-4f35-b6ac-bdb18cd306fd.png
409382,118901,Content Farm,adjusted_news,article,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,https://www.farandwide.com/s/best-small-towns-united-states-e6a21b7c07fb4035?utm_campaign=smalltowns-aef1bd1f9d9e4374&utm_source=tab&utm_medium=cpc&utm_term=gannettcompany-greenville,,,screenshots/154fb5fe-316e-4b06-bb9e-5fc93b9e2ab4.png,external_screenshots/71a7f444-8534-45de-8e7d-9d6b3cd62fbd.png
314286,90742,Content Farm,adjusted_news,home,https://www.usatoday.com/,https://www.kiwireport.com/biggest-box-office-flops-ever/?utm_campaign=SAFE%20Box%20Office%20G2%20NatD%20En%20-%20Desktop%20USA&utm_source=taboola&utm_medium=usatodaydemo&utm_term=The+Most+Hilarious+Movie+Flops+Of+All+Time&utm_content=https%3A%2F%2Fprod-pubplus-uploads.s3.amazonaws.com%2Fe5a5b3a9-dc71-4a37-b7d6-c46ea0829ea9.jpg,Taboola,Native,screenshots/74a0f4e0-753c-4297-a1c5-14859ba8e2ce.png,external_screenshots/5b98326a-3116-43e9-9696-661f001903fb.png
409290,118883,Content Farm,adjusted_news,article,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,https://www.editorchoice.com/hairstyles-fashion/,,,screenshots/d466fddf-93a6-4052-9608-e3bc316765b7.png,external_screenshots/71a7f444-8534-45de-8e7d-9d6b3cd62fbd.png
314320,90747,Content Farm,adjusted_news,home,https://www.usatoday.com/,https://www.stadiumtalk.com/s/best-high-school-football-programs-by-state-50cbef311f634728?utm_campaign=highschoolfootball-830cbbdc1274462d&utm_source=tab&utm_medium=cpc&utm_term=usatodaydemo,,,screenshots/21dd69ae-6ee6-4d5c-9d4c-cd4ee0f63ade.png,external_screenshots/5b98326a-3116-43e9-9696-661f001903fb.png
409246,118878,Content Farm,adjusted_news,article,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,https://www.graduatez.com/view/interesting-moments-on-the-subway-gz/?src=taboola&utm_source=taboola&utm_medium=gannettcompany-greenville&utm_campaign=1503438&utm_key=130&utm_term=GZ_D_US_interesting-moments-on-the-subway-gz_gil_6395_SAFE-FOR-MSN,,,screenshots/95098425-7e74-4699-b343-921a5f28a375.png,external_screenshots/71a7f444-8534-45de-8e7d-9d6b3cd62fbd.png
434330,125089,Content Farm,adjusted_news,article,https://bdnews24.com/politics/2020/01/28/radwan-mujib-visits-dhaka-north-mayor-candidate-atiqul,https://moneywise.com/a/ch-b/runaway-brides-and-grooms?utm_campaign=3682966&utm_source=taboola&utm_medium=Desktop&utm_term=bdnews24&utm_content=2876179827&hero=202001211136450500241538084,Taboola,Native,screenshots/68ea232e-7e10-48d6-b9d9-86eaecd3d321.png,external_screenshots/b0faf0d3-71ba-445d-94ab-1c400b23b282.png
